Island1,Island2,Distance,Distance_Rank,Landsea,Taxonomic,Phylogenetic,Functional
Aguni,Aka,40355.62053,5,Land,-1,118.1286489,0.166624055
Aguni,Amami,124509.2889,13,Land,-1,135.3386362,0.181140984
Aguni,Aragusuku,417155.7011,26,Land,-1,119.5641999,0.168430597
Aguni,Daito,404689.0827,21,Land,-0.9,136.1598545,0.182201996
Aguni,Hateruma,440862.0557,28,Land,-1,120.343696,0.167647479
Aguni,Hatoma,411987.1093,25,Land,-1,117.5771792,0.164862359
Aguni,Ie,51850.53545,8,Land,-1,120.9934314,0.172912046
Aguni,Iheya,79466.89296,12,Land,-1,133.0689823,0.179924029
Aguni,Ikema,267576.457,15,Land,-1,137.4512998,0.177824135
Aguni,Iriomote,409195.6841,23,Land,-1,130.4416496,0.177464378
Aguni,Ishigaki,361325.3304,19,Land,-1,137.2273714,0.180052154
Aguni,Izena,74753.16588,10,Land,-1,123.4858077,0.170099788
Aguni,Kamiyama,45535.9598,6,Land,NA,NA,NA
Aguni,Kohama,406708.8396,22,Land,-1,131.7398505,0.174201304
Aguni,Kudaka,78879.71193,11,Land,-1,123.1911984,0.168106412
Aguni,Kume,36374.06695,2,Land,-1,123.2037363,0.170773005
Aguni,Kuro,410821.6389,24,Land,-1,123.0486469,0.171486935
Aguni,Miyako,264414.5411,14,Land,-1,137.7875136,0.182283583
Aguni,Nakanougan,451042.2276,29,Land,-0.65,132.3361832,0.17998823
Aguni,Okinawa,48916.78556,7,Land,-1,134.6172117,0.179699142
Aguni,Osumi,510580.9573,31,Land,0.63,131.7840985,0.183868806
Aguni,Panari,420055.2067,27,Land,-1,117.5771792,0.164862359
Aguni,Senkaku,358870.9441,18,Land,-1,111.4350414,0.150215
Aguni,Taketomi,399439.6093,20,Land,-1,123.7326825,0.173694316
Aguni,Tarama,321553.9307,17,Land,-1,119.9232775,0.171934561
Aguni,Tokashiki,39545.11209,4,Land,-1,126.8091979,0.175408122
Aguni,Tokora,297371.5493,16,Land,-0.99,119.9416936,0.170425103
Aguni,Tonaki,22159.83737,1,Land,-1,116.5077253,0.162021071
