Island1,Island2,Distance,Distance_Rank,Landsea,Taxonomic,Phylogenetic,Functional
Aguni,Aka,40355.62053,5,Sea,-1,132.2755208,0.175667508
Aguni,Amami,124509.2889,13,Sea,-0.99,132.7597983,0.169695248
Aguni,Aragusuku,417155.7011,26,Sea,-1,133.098116,0.17634795
Aguni,Daito,404689.0827,21,Sea,-1,132.3677049,0.171413872
Aguni,Hateruma,440862.0557,28,Sea,-1,134.3616154,0.177020141
Aguni,Hatoma,411987.1093,25,Sea,-1,133.4222892,0.175972724
Aguni,Ie,51850.53545,8,Sea,-1,132.3148957,0.179559021
Aguni,Iheya,79466.89296,12,Sea,-1,132.390735,0.171806081
Aguni,Ikema,267576.457,15,Sea,-1,134.0390955,0.174849076
Aguni,Iriomote,409195.6841,23,Sea,-0.98,131.859439,0.17043753
Aguni,Ishigaki,361325.3304,19,Sea,-0.98,132.1145343,0.172409711
Aguni,Izena,74753.16588,10,Sea,-1,132.8309205,0.174145631
Aguni,Kamiyama,45535.9598,6,Sea,0.66,135.1392569,0.182606642
Aguni,Kohama,406708.8396,22,Sea,-1,132.8814988,0.177867322
Aguni,Kudaka,78879.71193,11,Sea,-1,132.5528937,0.175495827
Aguni,Kume,36374.06695,2,Sea,-1,133.1445825,0.172885203
Aguni,Kuro,410821.6389,24,Sea,-1,133.0964729,0.174074654
Aguni,Miyako,264414.5411,14,Sea,-1,132.1965,0.17330094
Aguni,Nakanougan,451042.2276,29,Sea,-0.91,137.314991,0.174548138
Aguni,Okinawa,48916.78556,7,Sea,-0.34,131.4897895,0.174339035
Aguni,Osumi,510580.9573,31,Sea,-0.97,133.5970602,0.165046064
Aguni,Panari,420055.2067,27,Sea,-1,133.098116,0.17634795
Aguni,Senkaku,358870.9441,18,Sea,-1,134.328616,0.177237183
Aguni,Taketomi,399439.6093,20,Sea,-1,133.3900346,0.17539935
Aguni,Tarama,321553.9307,17,Sea,-1,133.7363106,0.176403937
Aguni,Tokashiki,39545.11209,4,Sea,-1,131.7228674,0.173815791
Aguni,Tokora,297371.5493,16,Sea,-0.99,134.5052328,0.171073858
Aguni,Tonaki,22159.83737,1,Sea,-1,132.7825395,0.175065758
Aguni,Yagaji,74626.38302,9,Sea,-1,133.0318741,0.1696234
Aguni,Yonaguni,479440.3602,30,Sea,-1,132.0123038,0.171181663
Aguni,Zamami,36696.32006,3,Sea,-1,132.5528937,0.175495827
Aka,Amami,143864.7804,13,Sea,-0.76,132.9765036,0.175240388
Aka,Aragusuku,397418.0607,26,Sea,-1,130.7686391,0.171241613
Aka,Daito,393994.5401,24,Sea,-0.69,132.6021309,0.177357553
Aka,Hateruma,420470.9595,28,Sea,-1,132.2647529,0.172748531
Aka,Hatoma,395123.1284,25,Sea,-1,130.9598129,0.170119213
Aka,Ie,71330.90144,9,Sea,-1,130.2084345,0.178043042
Aka,Iheya,106789.0838,12,Sea,-1,132.4739444,0.175511695
Aka,Ikema,245551.8587,15,Sea,-1,132.2149683,0.171704891
Aka,Iriomote,390664.4603,22,Sea,-0.99,131.639747,0.175410057
Aka,Ishigaki,342677.1036,18,Sea,-0.56,132.1789634,0.178009221
Aka,Izena,98671.38762,11,Sea,-1,130.5151774,0.170016686
Aka,Kamiyama,25912.93872,4,Sea,0.09,130.6217745,0.170257963
Aka,Kohama,387690.1497,21,Sea,-1,131.876373,0.178048829
Aka,Kudaka,58564.86008,8,Sea,-1,130.1240028,0.171526421
Aka,Kume,37248.57764,6,Sea,-1,132.1910679,0.172622362
